class_name,precision,recall,f1,support
airplane,0.851104707012488,0.886,0.8682018618324351,1000
automobile,0.9369369369369369,0.936,0.9364682341170586,1000
bird,0.8525714285714285,0.746,0.7957333333333333,1000
cat,0.7595693779904307,0.635,0.6917211328976035,1000
deer,0.8429268292682927,0.864,0.8533333333333334,1000
dog,0.7469654528478058,0.8,0.772573635924674,1000
frog,0.8497695852534562,0.922,0.8844124700239808,1000
horse,0.8986083499005965,0.904,0.901296111665005,1000
ship,0.9203980099502488,0.925,0.9226932668329176,1000
truck,0.8893093661305582,0.94,0.9139523578026252,1000
